id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0010418,Thomas Meighan,Theodore Roberts,Raymond Hatton,Robert Cain,Alvin Wyckoff,null,null,null,Mitchell Leisen,null,null,null,Cecil B. DeMille,null,null,null,Anne Bauchens,null,null,null,Adventure,Drama,null,null,English,null,null,null,8.0,Cecil B. DeMille,David Shepard,null,null,Jeanie Macpherson,J.M. Barrie,null,null,Paramount Pictures,Sfinks,Paramount,Grapevine Video
0106469,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,Gabriel Beristain,null,null,null,Michael Castellano,Susie Money,Mayes C. Rubeo,Taryn Walsh,Taylor Hackford,null,null,null,Fredric Steinkamp,Karl F. Steinkamp,null,null,Crime,Drama,null,null,English,Arabic,Spanish,null,8.0,Jimmy Santiago Baca,Gina Blumenfeld,Jerry Gershwin,Taylor Hackford,Ross Thomas,Jimmy Santiago Baca,Jeremy Iacone,Floyd Mutrux,Buena Vista International (Sweden),Buena Vista International,Buena Vista International,Gaumont Buena Vista International (GBVI)
0040765,Montgomery Clift,Aline MacMahon,Wendell Corey,Jarmila Novotna,Emil Berna,null,null,null,null,null,null,null,Fred Zinnemann,null,null,null,Hermann Haller,null,null,null,Adventure,Drama,War,null,English,German,French,Polish,7.9,Oscar Düby,Lazar Wechsler,null,null,Richard Schweizer,David Wechsler,Paul Jarrico,Montgomery Clift,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),MGM/UA Home Entertainment,Warner Home Video
0099487,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Stefan Czapsky,null,null,null,Kathy Bird,David Davenport,Nancy McArdle,Ray Summers,Tim Burton,null,null,null,Colleen Halsey,Richard Halsey,null,null,Drama,Fantasy,Romance,null,English,null,null,null,8.0,Tim Burton,Denise Di Novi,Richard Hashimoto,Caroline Thompson,Tim Burton,Caroline Thompson,Caroline Thompson,null,Twentieth Century Fox Film Corporation,CBS/Fox,Columbia Broadcasting System (CBS),Encore Entertainment
0024216,Fay Wray,Robert Armstrong,Bruce Cabot,Frank Reicher,Edward Linden,J.O. Taylor,Vernon L. Walker,Kenneth Peach,Ethel Beach,Tommy Clark,null,null,Merian C. Cooper,Ernest B. Schoedsack,null,null,Ted Cheesman,null,null,null,Adventure,Fantasy,null,null,English,null,null,null,8.0,David O. Selznick,Merian C. Cooper,Ernest B. Schoedsack,null,James Ashmore Creelman,Ruth Rose,Merian C. Cooper,Edgar Wallace,RKO Radio Pictures,RKO Radio Pictures,Compagnie Universelle Cinématographique (CUC),RKO
0094226,Kevin Costner,Sean Connery,Charles Martin Smith,Andy Garcia,Stephen H. Burum,null,null,null,Giorgio Armani,Winnie D. Brown,Richard Bruno,Tom Dickason,Brian De Palma,null,null,null,Gerald B. Greenberg,Bill Pankow,null,null,Crime,Drama,Thriller,null,English,null,null,null,8.0,Raymond Hartwick,Art Linson,null,null,Oscar Fraley,Eliot Ness,David Mamet,null,Paramount Pictures,Paramount Pictures Entertainment,Svenska Filminstitutet (SFI),United International Pictures (UIP)
0037077,Eddie Bracken,Betty Hutton,Diana Lynn,William Demarest,John F. Seitz,null,null,null,null,null,null,null,Preston Sturges,null,null,null,Stuart Gilmore,null,null,null,Comedy,Romance,War,null,English,null,null,null,7.9,Buddy G. DeSylva,Preston Sturges,null,null,Preston Sturges,null,null,null,Paramount Pictures,Paramount Pictures,Swashbuckler Films,Art Station
0049601,Van Heflin,Everett Sloane,Ed Begley,Beatrice Straight,Boris Kaufman,null,null,null,null,null,null,null,Fielder Cook,null,null,null,Dave Kummins,Carl Lerner,null,null,Drama,null,null,null,English,null,null,null,7.9,Michael Myerberg,Jed Harris,null,null,Rod Serling,null,null,null,United Artists,United Artists Corporation,GoodTimes Home Video,"Roan Group, The"
0071360,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,Bill Butler,Haskell Wexler,null,null,null,null,null,null,Francis Ford Coppola,null,null,null,Richard Chew,null,null,null,Drama,Mystery,Thriller,null,English,null,null,null,7.9,Francis Ford Coppola,Fred Roos,Mona Skager,null,Francis Ford Coppola,null,null,null,Paramount Pictures,Columbia Broadcasting System (CBS),Cinéma International Corporation (CIC),Argentina Video Home
0028842,Marion Davies,Robert Montgomery,Frank McHugh,Patsy Kelly,George Barnes,null,null,null,Eugene Joseff,null,null,null,Lloyd Bacon,null,null,null,William Holmes,null,null,null,Comedy,Romance,null,null,English,null,null,null,7.9,Earl Baldwin,Hal B. Wallis,Jack L. Warner,null,Lawrence Riley,Earl Baldwin,Lillie Hayward,Margaret Lee,Warner Bros.,null,null,null
0054331,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,Russell Metty,null,null,null,Ruggero Peruzzi,Bill Thomas,Joan Joseff,null,Stanley Kubrick,null,null,null,Robert Lawrence,Irving Lerner,null,null,Adventure,Biography,Drama,History,English,null,null,null,8.0,Kirk Douglas,Edward Lewis,Edward Muhl,null,Dalton Trumbo,Howard Fast,Peter Ustinov,Calder Willingham,Universal Pictures,Rank Film Distributors,Universal Films Argentina,Universal Pictures
0014341,Joe Roberts,Ralph Bushman,Craig Ward,Monte Collins,Gordon Jennings,Elgin Lessley,null,null,null,null,null,null,John G. Blystone,Buster Keaton,null,null,null,null,null,null,Comedy,Family,null,null,English,null,null,null,7.9,Joseph M. Schenck,null,null,null,Jean C. Havez,Clyde Bruckman,Joseph A. Mitchell,Clyde Bruckman,Metro Pictures Corporation,Gaumont,Metro Pictures Corporation,Aktiebolaget Royal Film Osakeyhtiö
0051994,Kenneth More,Ronald Allen,Robert Ayres,Honor Blackman,Geoffrey Unsworth,null,null,null,Dorothy Edwards,Bert Simmonds,null,null,Roy Ward Baker,null,null,null,Sidney Hayers,null,null,null,Action,Drama,History,null,English,Russian,German,Italian,7.9,William MacQuitty,Earl St. John,null,null,Walter Lord,Eric Ambler,null,null,Rank Film Distributors,Rank Film Distributors of America,Towa,Carlton International
2209418,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Jennifer Prior,Christos Voudouris,null,null,null,Kleoniki Edipidi,Eleni Komninou,Antzy Raftakopoulou,null,Richard Linklater,null,null,null,Sandra Adair,null,null,null,Drama,Romance,null,null,English,Greek,French,null,7.9,Lelia Andronikou,Liz Glotzer,Kostas Kefalas,Christos V. Konstantakopoulos,Richard Linklater,Julie Delpy,Ethan Hawke,Richard Linklater,Albatros Film,Diamond Films,Diaphana Films,Good Films
0064665,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,Adam Holender,null,null,null,Max Soloman,null,null,null,John Schlesinger,null,null,null,Hugh A. Robertson,null,null,null,Drama,null,null,null,English,Italian,null,null,7.9,Jerome Hellman,Kenneth Utt,null,null,Waldo Salt,James Leo Herlihy,null,null,United Artists,United Artists,American Broadcasting Company (ABC),20th Century Fox Home Entertainment
0080455,John Belushi,Dan Aykroyd,James Brown,Cab Calloway,Stephen M. Katz,null,null,null,Sue Dugan,Hugo Peña,Ervin W. Rose,Haleen K. Holt,John Landis,null,null,null,George Folsey Jr.,null,null,null,Action,Comedy,Crime,Music,English,null,null,null,7.9,Bernie Brillstein,George Folsey Jr.,David Sosna,Robert K. Weiss,Dan Aykroyd,John Landis,null,null,Universal Pictures,Cinema International Corp.,Cinema International Corporation (CIC),Cinema International Corporation (CIC)
0454921,Will Smith,Jaden Smith,Thandie Newton,Brian Howe,Phedon Papamichael,null,null,null,Yvonne Bastidos,Michael Becker,Robert Mata,Riki Lin Sabusawa,Gabriele Muccino,null,null,null,Hughes Winborne,null,null,null,Biography,Drama,null,null,English,Cantonese,null,null,7.9,David Alper,Todd Black,Jason Blumenthal,Mark Clayman,Steve Conrad,null,null,null,Columbia Pictures,Buena Vista International,Columbia TriStar Films de Argentina,Falcon
