id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0059837,Connie Stevens,Sam Leavitt,null,William Conrad,William H. Ziegler,Mystery,English,6.2,William Conrad,John Kneubuhl,Warner Bros.
0072354,Marianne Morris,Harry Waxman,Dulcie Midwinter,José Ramón Larraz,Geoff R. Brown,Horror,English,6.2,Brian Smedley-Aston,Diana Daubeney,Cambist Films
0040762,June Haver,Ernest Palmer,Charles Le Maire,F. Hugh Herbert,J. Watson Webb Jr.,Comedy,English,6.2,Walter Morosco,F. Hugh Herbert,Twentieth Century Fox Film Corporation
0104575,Ariyan A. Johnson,Richard Connors,null,Leslie Harris,Jack Haigis,Drama,English,6.2,Nelson George,Leslie Harris,Les Films Number One
0078078,Rudy Ray Moore,Nicholas Josef von Sternberg,null,Cliff Roquemore,Cecelia Hall,Comedy,English,6.2,Burt Steiger,Cliff Roquemore,Generation International Pictures
0054989,Steve McQueen,Joseph LaShelle,null,Richard Thorpe,Ben Lewis,Comedy,English,6.2,Lawrence Weingarten,Lorenzo Semple Jr,Metro-Goldwyn-Mayer (MGM)
0348505,Natasha Richardson,Giles Nuttgens,Samantha Cousins,David Mackenzie,Colin Monie,Drama,English,6.2,David E. Allen,Patrick McGrath,Paramount Classics
0020103,Rod La Rocque,Ray June,null,George Fitzmaurice,Hal C. Kern,Film-Noir,English,6.2,George Fitzmaurice,Channing Pollock,United Artists
0118566,Nick Nolte,Toyomichi Kurita,Odette Gadoury,Alan Rudolph,Suzy Elmiger,Comedy,English,6.2,Robert Altman,Alan Rudolph,Sony Pictures Classics
0037040,Ann Sothern,Robert H. Planck,Irene,Harry Beaumont,Frank E. Hull,Comedy,English,6.2,George Haight,Mary C. McCall Jr,Metro-Goldwyn-Mayer (MGM)
0049663,Tony Curtis,Irving Glassberg,Bill Thomas,Rudolph Maté,Russell F. Schoengarth,Western,English,6.2,Stanley Rubin,Earl Felton,Universal Pictures
1462054,Lisa Curtis,Bob Scott,Claudia Combee,David Nixon,Patrick Tyler,Drama,English,6.1,Art D'Alessandro,Patrick Doughtie,Golden Village Pictures
0037530,John Carroll,John J. Mescall,Eugene Joseff,Andrew L. Stone,James Smith,Comedy,English,6.2,Henry S. Kesler,Malcolm Stuart Boylan,United Artists
0805570,Bradley Cooper,Jonathan Sela,Kimberly Buckley,Ryûhei Kitamura,Toby Yates,Horror,English,6.2,Clive Barker,Jeff Buhler,A-Film Distribution
0104777,Julie T. Wallace,Richard Greatrex,null,Lol Creme,Michael Connell,Comedy,English,6.2,Marnee K. Bie,Anthony C. Winkler,Cinépix Film Properties (CFP)
1230204,Melanie Griffith,null,null,Ben Stassen,null,Animation,English,6.2,Jeremy Burdek,Ben Stassen,AMG Entertainment
0031549,Robert Taylor,George J. Folsey,Eugene Joseff,Jack Conway,Elmo Veron,Drama,English,6.2,Sam Zimbalist,Ben Hecht,Metro-Goldwyn-Mayer (MGM)
