id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0078748,Tom Skerritt,Derek Vanlint,Tiny Nicholls,Ridley Scott,David Crowther,Horror,English,8.5,Gordon Carroll,Dan O'Bannon,Twentieth Century Fox Film Corporation
0050825,Kirk Douglas,Georg Krause,null,Stanley Kubrick,Eva Kroll,Drama,English,8.5,James B. Harris,Stanley Kubrick,United Artists
2376134,Adi Alfa,David Read,null,Joe Scott,Andrew McKee,Music,English,8.5,Ann Scott,Joe Scott,Ace Film
1853728,Jamie Foxx,Robert Richardson,Craig Anthony,Quentin Tarantino,Fred Raskin,Western,English,8.5,William Paul Clark,Quentin Tarantino,Alliance Films
0081505,Jack Nicholson,John Alcott,Ron Beck,Stanley Kubrick,Ray Lovejoy,Drama,English,8.4,Robert Fryer,Stephen King,Warner Bros.
0016023,Marion Davies,Ira H. Morgan,null,Monta Bell,Blanche Sewell,Drama,English,8.4,Monta Bell,Laurence Eyre,Metro-Goldwyn Pictures Corporation
0051201,Tyrone Power,Russell Harlan,Edith Head,Billy Wilder,Daniel Mandell,Drama,English,8.4,Arthur Hornblow Jr.,Agatha Christie,United Artists
0910970,Ben Burtt,null,null,Andrew Stanton,Stephen Schaffer,Animation,English,8.4,Lindsey Collins,Andrew Stanton,Audio Visual Entertainment
0389327,Karyn Dwyer,Mark Penney,Colin Burke,Mark Penney,Kevin Rollins,Comedy,English,8.4,Mark Penney,Mark Penney,Mór Distribution
0169547,Kevin Spacey,Conrad L. Hall,Marcy Grace Froehlich,Sam Mendes,Tariq Anwar,Drama,English,8.4,Alan Ball,Alan Ball,DreamWorks Distribution
0087843,Robert De Niro,Tonino Delli Colli,Richard Bruno,Sergio Leone,Nino Baragli,Crime,English,8.4,Claudio Mancini,Harry Grey,Société Nouvelle de Cinématographie (SNC)
0033467,Joseph Cotten,Gregg Toland,Claire Cramer,Orson Welles,Robert Wise,Drama,English,8.4,Orson Welles,Herman J. Mankiewicz,RKO Radio Pictures
0090605,Sigourney Weaver,Adrian Biddle,Tiny Nicholls,James Cameron,Ray Lovejoy,Action,English,8.4,Gordon Carroll,James Cameron,Twentieth Century Fox Film Corporation
0053125,Cary Grant,Robert Burks,Harry Kress,Alfred Hitchcock,George Tomasini,Adventure,English,8.4,Herbert Coleman,Ernest Lehman,Metro-Goldwyn-Mayer (MGM)
0117604,Anthony Quinn,Stefan Jonas,null,Daryush Shokof,Siegi Jonas,Drama,English,8.4,Ralf Drechsler,Juliane Schulze,null
1798674,Carmel Amit,Will Sargent,Adela Gloady,Brad Saville,Brad Saville,Crime,English,8.4,Zita Vasilisinova,Brad Saville,null
0052357,James Stewart,Robert Burks,Leonard Harris,Alfred Hitchcock,George Tomasini,Mystery,English,8.4,Herbert Coleman,Alec Coppel,Paramount Pictures
0016646,Marion Davies,Percy Hilburn,null,Sidney Franklin,Frank E. Hull,Comedy,English,8.4,null,Joseph Farnham,Metro-Goldwyn-Mayer (MGM)
0086190,Mark Hamill,Alan Hume,Elvira Angelinetta,Richard Marquand,Sean Barton,Action,English,8.4,Jim Bloom,Lawrence Kasdan,Twentieth Century Fox Film Corporation
0036775,Fred MacMurray,John F. Seitz,Neva Bourne,Billy Wilder,null,Crime,English,8.4,Buddy G. DeSylva,Billy Wilder,Paramount Pictures
3092790,Conleth Hill,Andrew Alderslade,null,Matthew Butler,William Honeyball,Comedy,English,8.4,Matthew Butler,Matthew Butler,null
1656648,Mase Daniels,Spencer T. Folmar,null,Spencer T. Folmar,Spencer T. Folmar,Drama,English,8.3,Spencer T. Folmar,Spencer T. Folmar,null
0112573,James Robinson,John Toll,Michael Barber,Mel Gibson,Steven Rosenblum,Biography,English,8.4,Bruce Davey,Randall Wallace,Paramount Pictures
1783721,Houston Peter,Iain Cash,Joanne Cook,Joe Scott,Andrew McKee,Drama,English,8.4,Johnny Parker,Joe Scott,null
0021533,William Haines,Henry Sharp,null,Fred Niblo,William S. Gray,Western,English,8.4,null,Alfred Block,Metro-Goldwyn-Mayer (MGM)
0180093,Ellen Burstyn,Matthew Libatique,Marie Abma,Darren Aronofsky,Jay Rabinowitz,Drama,English,8.4,Ben Barenholtz,Hubert Selby Jr,Artisan Entertainment
0081059,Anthony Quinn,Jack Hildyard,Paul Vachon,Moustapha Akkad,John Shirley,Biography,English,8.4,Moustapha Akkad,David Butler,United Film Distribution Company (UFDC)
0056592,Gregory Peck,Russell Harlan,Seth Banks,Robert Mulligan,Aaron Stell,Drama,English,8.4,Alan J. Pakula,Harper Lee,Universal Pictures
2096673,Amy Poehler,null,null,Pete Docter,Kevin Nolting,Animation,English,8.4,John Lasseter,Pete Docter,Cinecolor Films
0056172,Peter O'Toole,Freddie Young,John Wilson-Apperson,David Lean,Anne V. Coates,Adventure,English,8.4,Sam Spiegel,T.E. Lawrence,Columbia Pictures
0066921,Malcolm McDowell,John Alcott,Ron Beck,Stanley Kubrick,Bill Butler,Crime,English,8.4,Stanley Kubrick,Stanley Kubrick,Warner Bros.
0435761,Tom Hanks,null,null,Lee Unkrich,Ken Schretzmann,Animation,English,8.4,Darla K. Anderson,John Lasseter,Audio Visual Enterprises
0105236,Harvey Keitel,Andrzej Sekula,Jacqueline Aronson,Quentin Tarantino,Sally Menke,Crime,English,8.4,Lawrence Bender,Quentin Tarantino,Miramax
0012349,Carl Miller,Roland Totheroh,Mother Vinot,Charles Chaplin,Charles Chaplin,Comedy,English,8.4,Charles Chaplin,Charles Chaplin,First National Pictures
0338013,Jim Carrey,Ellen Kuras,Cara Czekanski,Michel Gondry,Valdís Óskarsdóttir,Drama,English,8.4,Georges Bermann,Charlie Kaufman,Focus Features
3438208,Kathy Najimy,Oren Soffer,Liz Santamorena,Jonathan D. Bucari,Jonathan D. Bucari,Drama,English,8.4,Julie Begey Seureau,Jonathan D. Bucari,null
0075314,Diahnne Abbott,Michael Chapman,Al Craine,Martin Scorsese,Tom Rolf,Crime,English,8.4,Phillip M. Goldfarb,Paul Schrader,Columbia Pictures
1942920,Ian McKellen,Pete Wallington,null,Matthew Butler,William Honeyball,Comedy,English,8.4,Chris Hart,Matthew Butler,E1 Entertainment
0045152,Gene Kelly,Harold Rosson,Joan Joseff,Stanley Donen,Adrienne Fazan,Comedy,English,8.4,Arthur Freed,Adolph Green,Metro-Goldwyn-Mayer (MGM)
0012928,Marion Davies,Ira H. Morgan,null,Robert G. Vignola,null,Drama,English,8.4,null,Sophie Kerr,Paramount Pictures
